Model,Test F1 (macro),Test Accuracy,Test Precision (macro),Test Recall (macro),CV F1 (mean),CV F1 (std),CV Accuracy (mean),CV Accuracy (std),Train time (s),Inference (ms/doc),Dataset
A-LSA,0.75378331572305,0.7555,0.7648711784169631,0.7565100377145635,0.7047832211511409,0.027122817300901658,0.7150000000000001,0.021509445599549988,24.62766194343567,2.6489102840423584,IMDb
Naive Bayes,0.865494317134899,0.8655,0.8658427254098361,0.8656762468258659,0.8487272570492468,0.003907583456114091,0.8487500000000001,0.0038931028755993437,1.9622454643249512,0.24979448318481445,IMDb
Logistic Regression,0.8749218261413383,0.875,0.875356417110425,0.8748308545333985,0.8646826706527528,0.0033383526408231052,0.864875,0.0032929849680798833,2.8586039543151855,0.2208549976348877,IMDb
Linear SVM,0.872954136443256,0.873,0.8731235070366297,0.8728966204910794,0.8618700973527798,0.003860827209416114,0.8619999999999999,0.0038405728739343043,2.2441816329956055,0.2210230827331543,IMDb
LSA + Logistic Regression,0.8487816406891551,0.849,0.8501217644548216,0.8486846908475926,0.8423820287225012,0.007010956390001932,0.842625,0.006930458137814554,4.099379539489746,0.25025486946105957,IMDb
