k,A-LSA,LSA + Logistic Regression,Logistic Regression
10,0.9238207857049008,0.811852451824103,0.9500694102368904
25,0.9268851163227583,0.8182351309752911,0.9500694102368904
50,0.9500126425424242,0.8665453254750466,0.9500694102368904
75,0.9500126425424242,0.8775064288271865,0.9500694102368904
100,0.9487715057183652,0.8959444030776867,0.9500694102368904
125,0.9416677941640734,0.911044562364154,0.9500694102368904
150,0.8978091427842775,0.920773920975563,0.9500694102368904
200,0.9122089394594075,0.9231658576175674,0.9500694102368904
