Ratio,A-LSA,A-LSA (no θ adjustment),Logistic Regression,LSA + Logistic Regression
1.0,0.9500126425424242,0.8389814943336124,0.9502109037948944,0.9133341106058839
0.5,0.9298820537186618,0.9051374345549739,0.9397272862413342,0.916083115183246
0.33,0.922564329283269,0.8953416410927042,0.9397272862413342,0.9193113339122655
0.2,0.9304990490052882,0.8581219532528619,0.950487101710663,0.9153563496870584
0.13,0.9545502074438768,0.8414598951184318,0.9502109037948944,0.9133341106058839
0.1,0.9545502074438768,0.8414598951184318,0.9502109037948944,0.9133341106058839
